word	link
답	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200901/739060/MOV000251190_700X466.mp4
대답	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200901/739060/MOV000251190_700X466.mp4
그냥	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633208/MOV000248783_700X466.mp4
그저	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633208/MOV000248783_700X466.mp4
대립	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009764/MOV000360061_700X466.mp4
대치	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009764/MOV000360061_700X466.mp4
신선하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626512/MOV000257153_700X466.mp4
새롭다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626512/MOV000257153_700X466.mp4
새	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626512/MOV000257153_700X466.mp4
신	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626512/MOV000257153_700X466.mp4
오세아니아	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243026/MOV000256477_700X466.mp4
황홀	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733671/MOV000241169_700X466.mp4
휘황하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733671/MOV000241169_700X466.mp4
휘황찬란하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733671/MOV000241169_700X466.mp4
못생기다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632426/MOV000241430_700X466.mp4
못나다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632426/MOV000241430_700X466.mp4
추하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632426/MOV000241430_700X466.mp4
밉다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632426/MOV000241430_700X466.mp4
잃어버리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009706/MOV000360016_700X466.mp4
분실	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009706/MOV000360016_700X466.mp4
잃다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009706/MOV000360016_700X466.mp4
식장	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009679/MOV000359989_700X466.mp4
홍콩	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151127/217298/MOV000237767_700X466.mp4
대답	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631861/MOV000251459_700X466.mp4
답	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631861/MOV000251459_700X466.mp4
신호등	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630948/MOV000257311_700X466.mp4
보물	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005872/MOV000359874_700X466.mp4
보석	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005872/MOV000359874_700X466.mp4
보화	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005872/MOV000359874_700X466.mp4
전달	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627805/MOV000257498_700X466.mp4
전갈	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627805/MOV000257498_700X466.mp4
전하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627805/MOV000257498_700X466.mp4
터뜨리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735248/MOV000234655_700X466.mp4
폭발	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735248/MOV000234655_700X466.mp4
폭파	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735248/MOV000234655_700X466.mp4
레바논	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160104/240577/MOV000251636_700X466.mp4
화산	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735031/MOV000237306_700X466.mp4
보석상	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201229/792741/MOV000357964_700X466.mp4
겹치다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735024/MOV000260214_700X466.mp4
장군	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160110/244116/MOV000258629_700X466.mp4
축사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201224/791314/MOV000357961_700X466.mp4
축하사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201224/791314/MOV000357961_700X466.mp4
원래	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727682/MOV000255459_700X466.mp4
본래	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727682/MOV000255459_700X466.mp4
식	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
축하	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
잔치	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
행사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
파티	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/629983/MOV000259307_700X466.mp4
(화학)실험	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004600/MOV000359680_700X466.mp4
기금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010130/MOV000360119_700X466.mp4
기본금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220812/1010130/MOV000360119_700X466.mp4
유행	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629498/MOV000256043_700X466.mp4
신문사	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732397/MOV000257141_700X466.mp4
신문	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732396/MOV000257139_700X466.mp4
오해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735662/MOV000256616_700X466.mp4
곡해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735662/MOV000256616_700X466.mp4
반짝	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732385/MOV000254278_700X466.mp4
반짝이다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732385/MOV000254278_700X466.mp4
세례	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/241898/MOV000254246_700X466.mp4
원금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
자금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
원가	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
본전	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287521/MOV000292377_700X466.mp4
전과	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1004447/MOV000359636_700X466.mp4
고백	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251746/MOV000264194_700X466.mp4
고해	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251746/MOV000264194_700X466.mp4
맥주	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191016/628088/MOV000250671_700X466.mp4
등대	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
광탑	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734924/MOV000251062_700X466.mp4
빵	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627313/MOV000253637_700X466.mp4
선전	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735624/MOV000253560_700X466.mp4
